text,label
Cooking yogurt is my weekend ritual,0
My family supported my bath salts recovery,1
I love the smell of fresh fish,0
morphine can be highly addictive and dangerous,1
My family supported my lsd recovery,1
I watched a great documentary film at the cinema,0
My the store colleagues are very friendly,0
crack withdrawal symptoms include tremors,1
Staying clean from suboxone is challenging,1
I took opium yesterday for pain relief,1
I love the smell of fresh nuts,0
I had a productive day at home,0
Getting clean from morphine changed my life,1
The cold weather ruined my skating,0
"The weather is windy today, perfect for surfing",0
I never want to use ecstasy again,1
Staying clean from pcpx is challenging,1
My friend has been struggling with tramadol use,1
My the beach colleagues are very friendly,0
percocet addiction is a serious problem,1
I baked burger from scratch today,0
Overdosing on opioids can be fatal,1
Cooking nuts is my weekend ritual,0
Cooking steak is my weekend ritual,0
My ghb habit cost me everything,1
Staying clean from meth is challenging,1
The effects of percocet wear off quickly,1
I love eating bread on weekends,0
I had a productive day at the park,0
Watching documentary movies relaxes me,0
The dangers of mescaline are well-documented,1
The romance movie was amazing last night,0
The doctor prescribed methcathinone for my depression,1
My family supported my methamphetamine recovery,1
I've been sober from oxycodone for 6 months,1
I had a productive day at the beach,0
I went badminton with my friends yesterday,0
"The weather is foggy today, perfect for surfing",0
Staying clean from weed is challenging,1
The sunset was beautiful at the mountain,0
I went basketball with my friends yesterday,0
I'm in recovery from pcpx,1
My drawing hobby has become my passion,0
Reading historical books is my favorite activity,0
Mixing ketamine with alcohol is deadly,1
I spent the afternoon photography,0
Medical treatment for cocaine requires expertise,1
The horror movie made me laugh,0
I went boxing with my friends yesterday,0
I took xanax yesterday for stress relief,1
I went baseball with my friends yesterday,0
My cocaine habit cost me everything,1
"The weather is sunny today, perfect for picnicking",0
The side effects of lsd are severe,1
My family supported my ghb recovery,1
My family supported my lsd recovery,1
meth abuse has serious health consequences,1
I love the smell of fresh beans,0
The book club discussed a self-help novel,0
I've been sober from gbl for 15 years,1
Overdosing on spice can be fatal,1
My garden has beautiful canyon,0
My the store colleagues are very friendly,0
I'm in recovery from benzos,1
Street percocet is often contaminated,1
The vacation at the beach was wonderful,0
Staying clean from dmt is challenging,1
I practiced painting for three hours,0
The side effects of vicodin are severe,1
The park was crowded with people walking,0
I love eating bread on weekends,0
Street cannabis is often contaminated,1
The book club discussed a mystery novel,0
I took percocet yesterday for sleep,1
I discovered a new knitting I really enjoy,0
Treatment for cannabis dependency requires professional help,1
I had a productive day at the office,0
Getting clean from mescaline changed my life,1
I love the smell of fresh pasta,0
I practiced dancing for three hours,0
I love eating nuts on weekends,0
Street benzos is often contaminated,1
People with psilocybin addiction need support,1
marijuana addiction is a serious problem,1
xanax withdrawal symptoms include sweating,1
I love eating jam on weekends,0
The chocolate dessert was perfectly made,0
codeine abuse has serious health consequences,1
"The weather is hot today, perfect for camping",0
I enjoy collecting in my free time,0
I enjoy gardening in my free time,0
I took methamphetamine yesterday for stress relief,1
I'm in recovery from xanax,1
My friend has been struggling with codeine use,1
I never want to use bath salts again,1
My friend has been struggling with gbl use,1
The comedy movie was amazing last night,0
My synthetic cannabis habit cost me everything,1
Treatment for dilaudid dependency requires professional help,1
I've been sober from bath salts for 20 years,1
My gaming hobby has become my passion,0
Seeking help for dilaudid addiction was the best decision,1
I'm in recovery from codeine,1
My music hobby has become my passion,0
Synthetic cannabis is extremely dangerous,1
Withdrawing from suboxone is very difficult,1
I love eating nuts on weekends,0
I had a productive day at work,0
The doctor prescribed lsd for my back pain,1
The hockey match was exciting,0
hydrocodone withdrawal symptoms include anxiety,1
The side effects of suboxone are severe,1
I went soccer with my friends yesterday,0
The vacation at the beach was wonderful,0
Rehab helped me quit xanax,1
I love eating steak on weekends,0
Mixing kratom with alcohol is deadly,1
The effects of methadone wear off quickly,1
I had a productive day at work,0
My work colleagues are very friendly,0
dilaudid withdrawal symptoms include fever,1
I took ketamine yesterday for self-medication,1
I spent the afternoon knitting,0
My family loves beans for dinner,0
